Season,shr40_zone,bets,wins,hit_rate,roi,avg_edge_shr40,avg_close_edge
2024,<0,82,46,0.5609756097560976,-0.2763826577642729,-0.028803493410306486,-0.061850837724137395
2024,0-0.01,18,13,0.7222222222222222,0.3052603645111682,0.006024649924141172,0.0223742578093392
2024,0.01-0.02,29,17,0.5862068965517241,-0.11213823027863548,0.014926469542391014,0.023211094118655153
2024,0.02-0.04,56,45,0.8035714285714286,0.2588830318502854,0.029807068004629955,0.060455304720010684
2024,>0.04,44,41,0.9318181818181818,0.46458112838331583,0.053648338987580695,0.1298911827548658
2024,,56,31,0.5535714285714286,-0.10183918958631352,,
2025,<0,78,37,0.47435897435897434,-0.367378855860052,-0.0272083028712463,-0.06271973067832148
2025,0-0.01,17,8,0.47058823529411764,-0.19785243291699534,0.004901226977634275,0.018978139395958105
2025,0.01-0.02,27,15,0.5555555555555556,-0.14176525491662184,0.015449524633065738,0.025018381031170288
2025,0.02-0.04,48,18,0.375,-0.3848489409524262,0.027978709604630045,0.07246393180721762
2025,>0.04,36,17,0.4722222222222222,-0.2986037468138173,0.051742886107664955,0.12025546429008675
2025,,43,13,0.3023255813953488,-0.5203628637921249,,
