Season,selected_team,bets
2024,Eagles,21
2024,Bills,19
2024,Chiefs,19
2024,Commanders,19
2024,Rams,19
2024,Ravens,19
2024,Chargers,18
2024,Lions,18
2024,Packers,18
2024,Texans,18
2024,Vikings,18
2024,49ers,17
2024,Bengals,17
2024,Dolphins,17
2024,Falcons,17
2024,Seahawks,17
2024,Steelers,17
2024,Buccaneers,16
2024,Cardinals,16
2024,Colts,16
2024,Cowboys,16
2024,Jaguars,16
2024,Bears,15
2024,Broncos,15
2024,Jets,15
2024,Giants,14
2024,Patriots,14
2024,Saints,14
2024,Browns,13
2024,Raiders,13
2024,Titans,13
2024,Panthers,11
2025,Bills,16
2025,Broncos,16
2025,Buccaneers,16
2025,Falcons,16
2025,Jaguars,16
2025,Lions,16
2025,Rams,16
2025,Steelers,16
2025,49ers,15
2025,Bears,15
2025,Chargers,15
2025,Chiefs,15
2025,Colts,15
2025,Cowboys,15
2025,Eagles,15
2025,Patriots,15
2025,Ravens,15
2025,Seahawks,15
2025,Texans,15
2025,Packers,14
2025,Vikings,13
2025,Cardinals,12
2025,Commanders,12
2025,Dolphins,12
2025,Saints,12
2025,Bengals,11
2025,Giants,11
2025,Jets,11
2025,Panthers,11
2025,Browns,10
2025,Raiders,9
2025,Titans,9
