Season,trap_flag_inflated_favorite,bets,wins,hit_rate,roi,avg_prob,avg_market_prob,trap_type,trap_flag_extreme_disagreement,trap_flag_late_favorite,trap_flag_weak_close_support,trap_flag_unknown_context
2024,0.0,152,105,0.6907894736842105,0.10615282573715452,0.6311292440419001,0.6074355210987588,trap_flag_inflated_favorite,,,,
2024,1.0,77,57,0.7402597402597403,-0.02099883289760245,0.7640773005762546,0.7821590967830843,trap_flag_inflated_favorite,,,,
2025,0.0,129,56,0.43410852713178294,-0.3054920209544146,0.638836313224383,0.6159770809617556,trap_flag_inflated_favorite,,,,
2025,1.0,77,39,0.5064935064935064,-0.3332560694456644,0.7759973103634226,0.7937233960936224,trap_flag_inflated_favorite,,,,
2024,,187,123,0.6577540106951871,-0.024419161490807566,0.6724827284197539,0.6721996061432973,trap_flag_extreme_disagreement,0.0,,,
2024,,42,39,0.9285714285714286,0.4543976804217408,0.6907458815296772,0.6394076978693392,trap_flag_extreme_disagreement,1.0,,,
2025,,172,78,0.45348837209302323,-0.32743868119266406,0.6877429337017733,0.688641101328772,trap_flag_extreme_disagreement,0.0,,,
2025,,34,17,0.5,-0.2573451436852183,0.7020556678595278,0.6509257504331358,trap_flag_extreme_disagreement,1.0,,,
2024,,142,90,0.6338028169014085,0.03465148252215169,0.6345091647055991,0.6211731376577028,trap_flag_late_favorite,,0.0,,
2024,,87,72,0.8275862068965517,0.11031964207800643,0.7432792626499464,0.7396536104817822,trap_flag_late_favorite,,1.0,,
2025,,137,79,0.5766423357664233,-0.1303903989243757,0.6585018256960934,0.6475305397094976,trap_flag_late_favorite,,0.0,,
2025,,69,16,0.2318840579710145,-0.6841406289535676,0.7528540171531034,0.7516820435228151,trap_flag_late_favorite,,1.0,,
2024,,157,112,0.7133757961783439,0.15709675053729144,0.6351114885405597,0.6116964642623155,trap_flag_weak_close_support,,,0.0,
2024,,72,50,0.6944444444444444,-0.14091486743642576,0.7646262991371188,0.7850014551406294,trap_flag_weak_close_support,,,1.0,
2025,,141,66,0.46808510638297873,-0.2512575343760645,0.6467963364019026,0.6224242903562485,trap_flag_weak_close_support,,,0.0,
2025,,65,29,0.4461538461538462,-0.45602885697554696,0.7840522134040105,0.8125526154314521,trap_flag_weak_close_support,,,1.0,
2024,,229,162,0.7074235807860262,0.06339877458048951,0.6758323023525782,0.6661853696913049,trap_flag_unknown_context,,,,0.0
2025,,206,95,0.46116504854368934,-0.3158698449050274,0.690105229630723,0.6824162375887156,trap_flag_unknown_context,,,,0.0
