subset,edge_threshold,odds_cap,bets,wins,win_rate,profit_units,roi,avg_edge,avg_edge_raw,avg_model_prob_raw,avg_model_prob_adj,avg_implied_prob,avg_odds,avg_books_used
all,0.03,150,211,139.0,0.6587677725118484,14.673655944098867,0.06954339309999463,0.06441387549849531,0.10735645916415888,0.7253548320434036,0.68241224837774,0.6179983728792446,-145.81516587677726,10.436018957345972
favorites_only,0.03,150,182,125.0,0.6868131868131868,13.86365594409887,0.07617393375878499,0.06185946004078139,0.10309910006796905,0.7448962294781492,0.7036565894509614,0.6417971294101802,-187.20054945054946,10.428571428571429
underdogs_only,0.03,150,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_upto_150,0.03,150,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_150_to_175,0.03,150,0,0.0,,0.0,,,,,,,,
dogs_175_to_200,0.03,150,0,0.0,,0.0,,,,,,,,
all,0.03,175,216,141.0,0.6527777777777778,14.913655944098867,0.06904470344490216,0.06445372182748826,0.10742286971248048,0.7200121496185035,0.6770430017335114,0.612589279906023,-138.72685185185185,10.439814814814815
favorites_only,0.03,175,182,125.0,0.6868131868131868,13.86365594409887,0.07617393375878499,0.06185946004078139,0.10309910006796905,0.7448962294781492,0.7036565894509614,0.6417971294101802,-187.20054945054946,10.428571428571429
underdogs_only,0.03,175,34,16.0,0.47058823529411764,1.0499999999999996,0.030882352941176458,0.07834065256809554,0.13056775428015926,0.5868091338992235,0.5345820321871596,0.4562413796190641,120.75,10.5
dogs_upto_150,0.03,175,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_150_to_175,0.03,175,5,2.0,0.4,0.24,0.048,0.0661352369109908,0.11022539485165135,0.49455095128772275,0.4504607933470622,0.38432555643607136,160.4,10.6
dogs_175_to_200,0.03,175,0,0.0,,0.0,,,,,,,,
all,0.03,200,217,141.0,0.6497695852534562,13.913655944098869,0.06411823015713765,0.06441196290425283,0.10735327150708807,0.718742198399979,0.6758008897971437,0.6113889268928909,-137.23963133640552,10.43778801843318
favorites_only,0.03,200,182,125.0,0.6868131868131868,13.86365594409887,0.07617393375878499,0.06185946004078139,0.10309910006796905,0.7448962294781492,0.7036565894509614,0.6417971294101802,-187.20054945054946,10.428571428571429
underdogs_only,0.03,200,35,16.0,0.45714285714285713,0.05000000000000049,0.0014285714285714424,0.0776849777943042,0.129474962990507,0.5827412367934933,0.5309512515972904,0.4532662738029862,122.55714285714286,10.485714285714286
dogs_upto_150,0.03,200,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_150_to_175,0.03,200,5,2.0,0.4,0.24,0.048,0.0661352369109908,0.11022539485165135,0.49455095128772275,0.4504607933470622,0.38432555643607136,160.4,10.6
dogs_175_to_200,0.03,200,1,0.0,0.0,-1.0,-1.0,0.0553920354853977,0.0923200591423296,0.4444327351986676,0.4075047115417357,0.352112676056338,184.0,10.0
all,0.05,150,135,96.0,0.7111111111111111,21.745248388909957,0.1610759139919256,0.07791113595576589,0.12985189325960983,0.7405522700577194,0.6886115127538754,0.6107003767981096,-135.52962962962962,10.407407407407407
favorites_only,0.05,150,114,85.0,0.7456140350877193,19.25024838890996,0.16886182797289437,0.07470769741205983,0.12451282902009976,0.7617988534251828,0.7119937218171432,0.6372860244050832,-181.64912280701753,10.394736842105264
underdogs_only,0.05,150,21,11.0,0.5238095238095238,2.495,0.11880952380952381,0.09530123090731295,0.15883538484552165,0.625213674634346,0.5616795206961372,0.46637828978882423,114.83333333333333,10.476190476190476
dogs_upto_150,0.05,150,21,11.0,0.5238095238095238,2.495,0.11880952380952381,0.09530123090731295,0.15883538484552165,0.625213674634346,0.5616795206961372,0.46637828978882423,114.83333333333333,10.476190476190476
