edge_threshold,bets,profit_units,roi,win_rate,avg_edge,avg_model_prob,avg_implied_prob,avg_odds
0.0,352,20.154210118401735,0.05725627874545947,0.6193181818181818,0.07527863671602367,0.668591760561757,0.5933131238457333,-116.49431818181819
0.01,316,25.00104900243959,0.0791172436786063,0.6360759493670886,0.08331877514501444,0.6825855037484111,0.5992667286033967,-124.11392405063292
0.02,288,17.23301354757966,0.059836852595762706,0.6284722222222222,0.0899453969470887,0.691210725724257,0.6012653287771683,-126.85763888888889
0.03,264,14.199556113905963,0.053786197401158954,0.6287878787878788,0.09582239062610773,0.6965243266196552,0.6007019359935475,-125.8465909090909
0.05,222,12.788655944098869,0.05760655830675166,0.6396396396396397,0.1064168307133193,0.7101746286264472,0.603757797913128,-128.0608108108108
0.08,149,19.57473510777851,0.13137406112603026,0.6912751677852349,0.12668996759789802,0.733779195816508,0.6070892282186099,-131.15436241610738
0.09,123,21.52659755545801,0.17501298825575617,0.7154471544715447,0.13562958821048507,0.7372739431874352,0.6016443549769501,-123.36585365853658
0.1,106,16.534254842881158,0.15598353625359582,0.6981132075471698,0.14225598404121081,0.7394836442701802,0.5972276602289694,-116.03301886792453
0.12,70,6.75730331444788,0.09653290449211256,0.6571428571428571,0.15842046646156907,0.7473199028515638,0.5888994363899948,-110.85714285714286
0.15,34,3.8672520535652497,0.11374270745780146,0.6470588235294118,0.1838385163002444,0.746224557832356,0.5623860415321117,-75.63235294117646
