game_id,Season,Week,game_date,AwayTeam,HomeTeam
2017_2017-08-03_cardinals_at_cowboys,2017,Hall Of Fame,2017-08-03,Cardinals,Cowboys
2017_2017-08-09_texans_at_panthers,2017,Preseason Week 1,2017-08-09,Texans,Panthers
2017_2017-08-10_broncos_at_bears,2017,Preseason Week 1,2017-08-10,Broncos,Bears
2017_2017-08-10_eagles_at_packers,2017,Preseason Week 1,2017-08-10,Eagles,Packers
2017_2017-08-10_falcons_at_dolphins,2017,Preseason Week 1,2017-08-10,Falcons,Dolphins
2017_2017-08-10_jaguars_at_patriots,2017,Preseason Week 1,2017-08-10,Jaguars,Patriots
2017_2017-08-10_redskins_at_ravens,2017,Preseason Week 1,2017-08-10,Redskins,Ravens
2017_2017-08-10_saints_at_browns,2017,Preseason Week 1,2017-08-10,Saints,Browns
2017_2017-08-10_vikings_at_bills,2017,Preseason Week 1,2017-08-10,Vikings,Bills
2017_2017-08-11_49ers_at_chiefs,2017,Preseason Week 1,2017-08-11,49ers,Chiefs
2017_2017-08-11_buccaneers_at_bengals,2017,Preseason Week 1,2017-08-11,Buccaneers,Bengals
2017_2017-08-11_steelers_at_giants,2017,Preseason Week 1,2017-08-11,Steelers,Giants
2017_2017-08-12_cowboys_at_rams,2017,Preseason Week 1,2017-08-12,Cowboys,Rams
2017_2017-08-12_raiders_at_cardinals,2017,Preseason Week 1,2017-08-12,Raiders,Cardinals
2017_2017-08-12_titans_at_jets,2017,Preseason Week 1,2017-08-12,Titans,Jets
2017_2017-08-13_lions_at_colts,2017,Preseason Week 1,2017-08-13,Lions,Colts
2017_2017-08-13_seahawks_at_chargers,2017,Preseason Week 1,2017-08-13,Seahawks,Chargers
2017_2017-08-17_bills_at_eagles,2017,Preseason Week 2,2017-08-17,Bills,Eagles
2017_2017-08-17_buccaneers_at_jaguars,2017,Preseason Week 2,2017-08-17,Buccaneers,Jaguars
2017_2017-08-17_ravens_at_dolphins,2017,Preseason Week 2,2017-08-17,Ravens,Dolphins
2017_2017-08-18_vikings_at_seahawks,2017,Preseason Week 2,2017-08-18,Vikings,Seahawks
2017_2017-08-19_bears_at_cardinals,2017,Preseason Week 2,2017-08-19,Bears,Cardinals
2017_2017-08-19_broncos_at_49ers,2017,Preseason Week 2,2017-08-19,Broncos,49ers
2017_2017-08-19_chiefs_at_bengals,2017,Preseason Week 2,2017-08-19,Chiefs,Bengals
2017_2017-08-19_colts_at_cowboys,2017,Preseason Week 2,2017-08-19,Colts,Cowboys
2017_2017-08-19_jets_at_lions,2017,Preseason Week 2,2017-08-19,Jets,Lions
2017_2017-08-19_packers_at_redskins,2017,Preseason Week 2,2017-08-19,Packers,Redskins
2017_2017-08-19_panthers_at_titans,2017,Preseason Week 2,2017-08-19,Panthers,Titans
2017_2017-08-19_patriots_at_texans,2017,Preseason Week 2,2017-08-19,Patriots,Texans
2017_2017-08-19_rams_at_raiders,2017,Preseason Week 2,2017-08-19,Rams,Raiders
2017_2017-08-20_falcons_at_steelers,2017,Preseason Week 2,2017-08-20,Falcons,Steelers
2017_2017-08-20_saints_at_chargers,2017,Preseason Week 2,2017-08-20,Saints,Chargers
2017_2017-08-21_giants_at_browns,2017,Preseason Week 2,2017-08-21,Giants,Browns
2017_2017-08-24_dolphins_at_eagles,2017,Preseason Week 3,2017-08-24,Dolphins,Eagles
2017_2017-08-24_panthers_at_jaguars,2017,Preseason Week 3,2017-08-24,Panthers,Jaguars
2017_2017-08-25_chiefs_at_seahawks,2017,Preseason Week 3,2017-08-25,Chiefs,Seahawks
2017_2017-08-25_patriots_at_lions,2017,Preseason Week 3,2017-08-25,Patriots,Lions
2017_2017-08-26_bills_at_ravens,2017,Preseason Week 3,2017-08-26,Bills,Ravens
2017_2017-08-26_browns_at_buccaneers,2017,Preseason Week 3,2017-08-26,Browns,Buccaneers
2017_2017-08-26_cardinals_at_falcons,2017,Preseason Week 3,2017-08-26,Cardinals,Falcons
2017_2017-08-26_chargers_at_rams,2017,Preseason Week 3,2017-08-26,Chargers,Rams
2017_2017-08-26_colts_at_steelers,2017,Preseason Week 3,2017-08-26,Colts,Steelers
2017_2017-08-26_jets_at_giants,2017,Preseason Week 3,2017-08-26,Jets,Giants
2017_2017-08-26_packers_at_broncos,2017,Preseason Week 3,2017-08-26,Packers,Broncos
2017_2017-08-26_raiders_at_cowboys,2017,Preseason Week 3,2017-08-26,Raiders,Cowboys
2017_2017-08-26_texans_at_saints,2017,Preseason Week 3,2017-08-26,Texans,Saints
2017_2017-08-27_49ers_at_vikings,2017,Preseason Week 3,2017-08-27,49ers,Vikings
2017_2017-08-27_bears_at_titans,2017,Preseason Week 3,2017-08-27,Bears,Titans
2017_2017-08-27_bengals_at_redskins,2017,Preseason Week 3,2017-08-27,Bengals,Redskins
2017_2017-08-31_bengals_at_colts,2017,Preseason Week 4,2017-08-31,Bengals,Colts
2017_2017-08-31_browns_at_bears,2017,Preseason Week 4,2017-08-31,Browns,Bears
2017_2017-08-31_cardinals_at_broncos,2017,Preseason Week 4,2017-08-31,Cardinals,Broncos
2017_2017-08-31_chargers_at_49ers,2017,Preseason Week 4,2017-08-31,Chargers,49ers
2017_2017-08-31_dolphins_at_vikings,2017,Preseason Week 4,2017-08-31,Dolphins,Vikings
