game_id,Season,week_num,Date,AwayTeam,HomeTeam,home_score,away_score,margin,total_points,home_win,away_win,PostSeason
2017_1_Chiefs_Patriots,2017,1,09/07,Chiefs,Patriots,27.0,42.0,-15.0,69.0,0,1,0
2017_1_Jets_Bills,2017,1,09/10,Jets,Bills,21.0,12.0,9.0,33.0,1,0,0
2017_1_Falcons_Bears,2017,1,09/10,Falcons,Bears,17.0,23.0,-6.0,40.0,0,1,0
2017_1_Ravens_Bengals,2017,1,09/10,Ravens,Bengals,0.0,20.0,-20.0,20.0,0,1,0
2017_1_Steelers_Browns,2017,1,09/10,Steelers,Browns,18.0,21.0,-3.0,39.0,0,1,0
2017_1_Cardinals_Lions,2017,1,09/10,Cardinals,Lions,35.0,23.0,12.0,58.0,1,0,0
2017_1_Jaguars_Texans,2017,1,09/10,Jaguars,Texans,7.0,29.0,-22.0,36.0,0,1,0
2017_1_Raiders_Titans,2017,1,09/10,Raiders,Titans,16.0,26.0,-10.0,42.0,0,1,0
2017_1_Eagles_Redskins,2017,1,09/10,Eagles,Redskins,17.0,30.0,-13.0,47.0,0,1,0
2017_1_Colts_Rams,2017,1,09/10,Colts,Rams,46.0,9.0,37.0,55.0,1,0,0
2017_1_Seahawks_Packers,2017,1,09/10,Seahawks,Packers,17.0,9.0,8.0,26.0,1,0,0
2017_1_Panthers_49ers,2017,1,09/10,Panthers,49ers,3.0,23.0,-20.0,26.0,0,1,0
2017_1_Giants_Cowboys,2017,1,09/10,Giants,Cowboys,19.0,3.0,16.0,22.0,1,0,0
2017_1_Saints_Vikings,2017,1,09/11,Saints,Vikings,29.0,19.0,10.0,48.0,1,0,0
2017_1_Chargers_Broncos,2017,1,09/11,Chargers,Broncos,24.0,21.0,3.0,45.0,1,0,0
2017_2_Texans_Bengals,2017,2,09/14,Texans,Bengals,9.0,13.0,-4.0,22.0,0,1,0
2017_2_Browns_Ravens,2017,2,09/17,Browns,Ravens,24.0,10.0,14.0,34.0,1,0,0
2017_2_Bills_Panthers,2017,2,09/17,Bills,Panthers,9.0,3.0,6.0,12.0,1,0,0
2017_2_Cardinals_Colts,2017,2,09/17,Cardinals,Colts,13.0,16.0,-3.0,29.0,0,1,0
2017_2_Titans_Jaguars,2017,2,09/17,Titans,Jaguars,16.0,37.0,-21.0,53.0,0,1,0
2017_2_Eagles_Chiefs,2017,2,09/17,Eagles,Chiefs,27.0,20.0,7.0,47.0,1,0,0
2017_2_Patriots_Saints,2017,2,09/17,Patriots,Saints,20.0,36.0,-16.0,56.0,0,1,0
2017_2_Vikings_Steelers,2017,2,09/17,Vikings,Steelers,26.0,9.0,17.0,35.0,1,0,0
2017_2_Bears_Buccaneers,2017,2,09/17,Bears,Buccaneers,29.0,7.0,22.0,36.0,1,0,0
2017_2_Dolphins_Chargers,2017,2,09/17,Dolphins,Chargers,17.0,19.0,-2.0,36.0,0,1,0
2017_2_Jets_Raiders,2017,2,09/17,Jets,Raiders,45.0,20.0,25.0,65.0,1,0,0
2017_2_Cowboys_Broncos,2017,2,09/17,Cowboys,Broncos,42.0,17.0,25.0,59.0,1,0,0
