Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2017,Week 12,2017-11-27,Texans,Ravens,home,-110,0.9495491881388172,0.5238095238095238,0.4257396643292933,7.371699420244053,39.75003324217425
2017,Week 16,2017-12-24,Buccaneers,Panthers,home,-110,0.9493384144216802,0.5238095238095238,0.4255288906121564,7.366249121017945,40.24611019619075
2020,Week 5,2020-10-11,Colts,Browns,home,-110,0.948962676632659,0.5238095238095238,0.4251531528231351,10.403492141541628,52.66066603546087
2019,Week 3,2019-09-22,Bengals,Bills,home,-110,0.9488218823536216,0.5238095238095238,0.4250123585440978,8.632167603419733,38.36775818949513
2017,Week 1,2017-09-11,Saints,Vikings,home,-110,0.9488069903886304,0.5238095238095238,0.4249974665791065,11.469686190246172,47.91192440173992
2019,Week 5,2019-10-03,Rams,Seahawks,home,-110,0.948250575436006,0.5238095238095238,0.4244410516264821,7.158003668823564,57.666287270961774
2018,Week 5,2018-10-07,Giants,Panthers,home,-110,0.9473918952992342,0.5238095238095238,0.4235823714897103,5.707361901797448,62.85330070617376
2021,Week 4,2021-10-03,Giants,Saints,home,-110,0.9472186573188972,0.5238095238095238,0.4234091335093733,9.17734784538301,44.64388486175402
2018,Week 13,2018-12-02,49ers,Seahawks,home,-110,0.9472165875423528,0.5238095238095238,0.423407063732829,15.180519877473932,57.61027518832646
2019,Week 9,2019-11-03,,Bills,home,-110,0.9469103259615708,0.5238095238095238,0.4231008021520469,13.60269995977056,39.03902317843435
2019,Week 8,2019-10-28,Dolphins,Steelers,home,-110,0.9468929266593316,0.5238095238095238,0.4230834028498077,15.201566753831578,42.874638066330846
2020,Week 14,2020-12-13,Jets,Seahawks,home,-110,0.9468788208999394,0.5238095238095238,0.4230692970904155,21.238334438642543,43.446750371375146
2017,Week 14,2017-12-10,Raiders,Chiefs,home,-110,0.946423401055874,0.5238095238095238,0.4226138772463501,14.164163866259123,42.293371111373936
2021,Week 2,2021-09-20,Lions,Packers,home,-110,0.9459902626539212,0.5238095238095238,0.4221807388443973,15.437155083324466,52.822144543069086
2020,Divisional Playoffs,2021-01-16,Rams,Packers,home,-110,0.9449063181151034,0.5238095238095238,0.4210967943055795,13.30358469262118,47.13743897214745
2019,Week 1,2019-09-08,Bengals,Seahawks,home,-110,0.944846620674746,0.5238095238095238,0.4210370968652221,6.046402982111821,42.97388449693848
2017,Week 16,2017-12-24,Browns,Bears,home,-110,0.9445722689788164,0.5238095238095238,0.4207627451692926,15.544455418149854,23.80543998846346
2018,Week 6,2018-10-14,Colts,Jets,home,-110,0.944443143266969,0.5238095238095238,0.4206336194574451,10.308317409684143,77.2295317003795
2018,Week 9,2018-11-01,Raiders,49ers,home,-110,0.9443745170841314,0.5238095238095238,0.4205649932746076,19.293119434883646,38.818256452682114
2017,Week 17,2017-12-31,Bears,Vikings,home,-110,0.9443255471101876,0.5238095238095238,0.4205160233006637,10.63365810267294,31.26099997998215
2021,Week 6,2021-10-17,Chargers,Ravens,home,-110,0.9438616197463366,0.5238095238095238,0.4200520959368128,14.170572767227672,41.110024142640185
2020,Week 9,2020-11-08,Bears,Titans,home,-110,0.9435523703834238,0.5238095238095238,0.4197428465738999,8.610889108160775,41.58473761665514
2018,Divisional Playoffs,2019-01-12,Cowboys,Rams,home,-110,0.9432742979154288,0.5238095238095238,0.419464774105905,9.780697002322013,51.95672227551002
2019,Week 15,2019-12-12,Jets,Ravens,home,-110,0.9432616117146472,0.5238095238095238,0.4194520879051233,18.405068678518457,58.0398833150102
2017,Week 3,2017-09-24,Broncos,Bills,home,-110,0.9429995104448268,0.5238095238095238,0.4191899866353029,8.876162867945853,44.00884715118259
2017,Week 13,2017-11-30,,Cowboys,home,-110,0.9429361054761716,0.5238095238095238,0.4191265816666477,14.897146867619496,54.51550502469881
2019,Week 1,2019-09-08,Falcons,Vikings,home,-110,0.9427026067227152,0.5238095238095238,0.4188930829131914,14.71399776457204,40.27667383861375
