season,week,date,home_team,away_team,spread_close,total_close
2006,1.0,2006-09-10,JAGUARS,COWBOYS,-2.0,36.5
2006,1.0,2006-09-10,TEXANS,EAGLES,-6.0,38.0
2006,4.0,2006-10-01,TEXANS,DOLPHINS,-3.5,40.5
2006,5.0,2006-10-08,PANTHERS,BROWNS,8.0,38.0
2006,6.0,2006-10-15,RAVENS,PANTHERS,3.0,33.5
2006,7.0,2006-10-22,BENGALS,PANTHERS,3.0,44.0
2006,8.0,2006-10-29,SAINTS,RAVENS,2.0,37.0
2006,11.0,2006-11-19,RAVENS,FALCONS,3.5,41.0
2006,13.0,2006-12-03,DOLPHINS,JAGUARS,1.5,35.5
2006,13.0,2006-12-03,RAIDERS,TEXANS,3.0,35.5
2006,15.0,2006-12-17,PATRIOTS,TEXANS,12.5,38.0
2007,2.0,2007-09-16,PANTHERS,TEXANS,6.5,38.0
2007,6.0,2007-10-14,BUCCANEERS,TITANS,2.0,37.0
2007,9.0,2007-11-04,TITANS,PANTHERS,5.5,35.5
2007,11.0,2007-11-19,BRONCOS,TITANS,1.0,38.5
2007,11.0,2007-11-18,TEXANS,SAINTS,1.5,50.0
2007,14.0,2007-12-09,TEXANS,BUCCANEERS,-3.0,40.0
2007,14.0,2007-12-09,TITANS,CHARGERS,-1.5,40.0
2007,15.0,2007-12-16,CHIEFS,TITANS,-3.5,34.5
2007,16.0,2007-12-23,JAGUARS,RAIDERS,14.0,40.0
2007,16.0,2007-12-23,SEAHAWKS,RAVENS,12.0,39.0
2008,4.0,2008-09-28,TITANS,VIKINGS,3.0,35.5
2008,7.0,2008-10-19,TEXANS,LIONS,11.0,47.5
2008,12.0,2008-11-23,JAGUARS,VIKINGS,2.0,41.0
2008,14.0,2008-12-07,PACKERS,TEXANS,7.0,47.5
2008,15.0,2008-12-14,PANTHERS,BRONCOS,8.0,48.0
2008,17.0,2008-12-28,TEXANS,BEARS,3.0,46.5
2009,2.0,2009-09-20,BILLS,BUCCANEERS,4.0,42.0
2009,5.0,2009-10-11,CARDINALS,TEXANS,6.0,50.5
2009,6.0,2009-10-18,JAGUARS,RAMS,9.5,42.5
2009,6.0,2009-10-18,VIKINGS,RAVENS,3.0,45.5
2009,12.0,2009-11-29,49ERS,JAGUARS,3.0,42.0
2009,12.0,2009-11-29,TITANS,CARDINALS,3.5,44.5
2009,14.0,2009-12-13,TEXANS,SEAHAWKS,7.0,44.5
2009,15.0,2009-12-20,RAMS,TEXANS,-14.0,43.5
