market,ref,side,line,odds,p_win,ev,stake,legs_json,section,legs,american,p_combo,ev_est
H2H,2025-09-21_PANTHERS_AT_FALCONS,ATLANTA FALCONS,,-235.0,0.701493,6.595744681536786e-07,0.02,[],lock,,,,
H2H,2025-09-21_PANTHERS_AT_FALCONS,ATLANTA FALCONS,,-235.0,0.701493,6.595744681536786e-07,0.02,[],lock,,,,
H2H,2025-09-21_PANTHERS_AT_FALCONS,ATLANTA FALCONS,,-235.0,0.701493,6.595744681536786e-07,0.02,[],lock,,,,
H2H,2025-09-21_VIKINGS_AT_BENGALS,MINNESOTA VIKINGS,,-160.0,0.615385,6.249999999208278e-07,0.02,[],lock,,,,
H2H,2025-09-21_SEAHAWKS_AT_SAINTS,SEATTLE SEAHAWKS,,-412.0,0.804688,6.213592232406917e-07,0.02,[],lock,,,,
H2H,2025-09-21_VIKINGS_AT_BENGALS,MINNESOTA VIKINGS,,-170.0,0.62963,5.882352941410929e-07,0.02,[],lock,,,,
H2H,2025-09-21_TITANS_AT_COLTS,INDIANAPOLIS COLTS,,-186.0,0.65035,5.376344085483709e-07,0.02,[],lock,,,,
H2H,2025-09-21_SEAHAWKS_AT_SAINTS,SEATTLE SEAHAWKS,,-410.0,0.803922,5.365853658900743e-07,0.02,[],lock,,,,
H2H,2025-09-22_GIANTS_AT_CHIEFS,KANSAS CITY CHIEFS,,-286.0,0.740933,4.825174824696354e-07,0.02,[],lock,,,,
H2H,2025-09-21_PANTHERS_AT_FALCONS,ATLANTA FALCONS,,-225.0,0.692308,4.4444444446956055e-07,0.02,[],lock,,,,
H2H,2025-09-21_PANTHERS_AT_FALCONS,ATLANTA FALCONS,,-230.0,0.69697,4.347826086381623e-07,0.02,[],lock,,,,
H2H,2025-09-23_RAVENS_AT_LIONS,BALTIMORE RAVENS,,-250.0,0.714286,3.999999999559911e-07,0.02,[],lock,,,,
H2H,2025-09-21_PANTHERS_AT_FALCONS,ATLANTA FALCONS,,-250.0,0.714286,3.999999999559911e-07,0.02,[],lock,,,,
H2H,2025-09-21_SEAHAWKS_AT_SAINTS,SEATTLE SEAHAWKS,,-360.0,0.782609,3.888888888969877e-07,0.02,[],lock,,,,
H2H,2025-09-21_SEAHAWKS_AT_SAINTS,SEATTLE SEAHAWKS,,-360.0,0.782609,3.888888888969877e-07,0.02,[],lock,,,,
H2H,2025-09-22_GIANTS_AT_CHIEFS,KANSAS CITY CHIEFS,,-270.0,0.72973,3.703703703172856e-07,0.02,[],lock,,,,
H2H,2025-09-22_GIANTS_AT_CHIEFS,KANSAS CITY CHIEFS,,-270.0,0.72973,3.703703703172856e-07,0.02,[],lock,,,,
H2H,2025-09-21_EAGLES_AT_RAMS,PHILADELPHIA EAGLES,,-178.0,0.640288,3.595505617681738e-07,0.02,[],lock,,,,
H2H,2025-09-23_RAVENS_AT_LIONS,BALTIMORE RAVENS,,-285.0,0.74026,3.508771930227361e-07,0.02,[],lock,,,,
H2H,2025-09-21_BROWNS_AT_PACKERS,GREEN BAY PACKERS,,-430.0,0.811321,3.023255813472403e-07,0.02,[],lock,,,,
