model_prob_bucket,odds_bucket,bets,wins,profit_units,avg_model_prob,avg_implied_prob,avg_odds,win_rate,roi,calibration_gap
"[0.5, 0.55)",+110 to +150,1,0,-1.0,0.5499169409207346,0.4347826086956521,130.0,0.0,-1.0,-0.5499169409207346
"[0.55, 0.6)",+110 to +150,4,2,0.28,0.5776515666947702,0.45870124007154267,118.25,0.5,0.07,-0.07765156669477025
"[0.55, 0.6)",+150 to +200,1,0,-1.0,0.5551756938202952,0.373134328358209,168.0,0.0,-1.0,-0.5551756938202952
"[0.6, 0.65)",-110 to +110,5,3,0.9440909090909091,0.6199827569799498,0.5030420030420031,18.7,0.6,0.18881818181818183,-0.01998275697994978
"[0.65, 0.7)",-150 to -110,2,1,-0.33333333333333337,0.6934010795352157,0.5777777777777777,-137.5,0.5,-0.16666666666666669,-0.19340107953521568
"[0.65, 0.7)",-110 to +110,1,0,-1.0,0.6537566133174851,0.5,100.0,0.0,-1.0,-0.6537566133174851
"[0.65, 0.7)",+110 to +150,1,0,-1.0,0.6558258227741827,0.4444444444444444,125.0,0.0,-1.0,-0.6558258227741827
"[0.7, 0.75)",-200 to -150,7,6,2.768240035699875,0.7388753890108282,0.6148720439066061,-159.71428571428572,0.8571428571428571,0.3954628622428393,0.11826746813202893
"[0.7, 0.75)",-150 to -110,3,1,-1.3243243243243243,0.7231799770819215,0.5780218245656034,-137.66666666666666,0.3333333333333333,-0.44144144144144143,-0.3898466437485882
"[0.75, 0.8)",-300 to -200,1,0,-1.0,0.7999321706855202,0.7005988023952096,-234.0,0.0,-1.0,-0.7999321706855202
"[0.75, 0.8)",-200 to -150,14,5,-6.432035345418049,0.7691108077051811,0.6449527469168681,-182.35714285714286,0.35714285714285715,-0.4594310961012892,-0.411967950562324
"[0.75, 0.8)",-150 to -110,5,4,1.9780149607735815,0.7605369598758368,0.5742727770057635,-135.2,0.8,0.3956029921547163,0.03946304012416324
"[0.75, 0.8)",+110 to +150,1,0,-1.0,0.7595494324466165,0.4651162790697674,115.0,0.0,-1.0,-0.7595494324466165
"[0.8, 0.9)",-300 to -200,6,3,-1.832796276405299,0.8388546513456236,0.70742705946072,-243.33333333333334,0.5,-0.30546604606754985,-0.33885465134562365
"[0.8, 0.9)",-200 to -150,3,2,0.031366294524189264,0.8254734688841509,0.647414484476136,-184.33333333333334,0.6666666666666666,0.010455431508063088,-0.15880680221748422
