Season,Week,game_date,home_team,away_team,has_odds
2017,1,2017-09-07,Patriots,Chiefs,
2017,1,2017-09-10,Lions,Cardinals,
2017,1,2017-09-10,Rams,Colts,
2017,1,2017-09-10,Redskins,Eagles,
2017,1,2017-09-10,Bears,Falcons,
2017,1,2017-09-10,Cowboys,Giants,
2017,1,2017-09-10,Texans,Jaguars,
2017,1,2017-09-10,Bills,Jets,
2017,1,2017-09-10,49ers,Panthers,
2017,1,2017-09-10,Titans,Raiders,
2017,1,2017-09-10,Bengals,Ravens,
2017,1,2017-09-10,Packers,Seahawks,
2017,1,2017-09-10,Browns,Steelers,
2017,1,2017-09-11,Broncos,Chargers,
2017,1,2017-09-11,Vikings,Saints,
2017,2,2017-09-14,Bengals,Texans,
2017,2,2017-09-17,Seahawks,49ers,
2017,2,2017-09-17,Buccaneers,Bears,
2017,2,2017-09-17,Panthers,Bills,
2017,2,2017-09-17,Ravens,Browns,
2017,2,2017-09-17,Colts,Cardinals,
2017,2,2017-09-17,Broncos,Cowboys,
2017,2,2017-09-17,Chargers,Dolphins,
2017,2,2017-09-17,Chiefs,Eagles,
2017,2,2017-09-17,Raiders,Jets,
2017,2,2017-09-17,Falcons,Packers,
2017,2,2017-09-17,Saints,Patriots,
2017,2,2017-09-17,Rams,Redskins,
2017,2,2017-09-17,Jaguars,Titans,
2017,2,2017-09-17,Steelers,Vikings,
2017,2,2017-09-18,Giants,Lions,
2017,3,2017-09-21,49ers,Rams,
2017,3,2017-09-24,Packers,Bengals,
2017,3,2017-09-24,Bills,Broncos,
2017,3,2017-09-24,Colts,Browns,
2017,3,2017-09-24,Vikings,Buccaneers,
2017,3,2017-09-24,Chargers,Chiefs,
2017,3,2017-09-24,Jets,Dolphins,
2017,3,2017-09-24,Lions,Falcons,
2017,3,2017-09-24,Eagles,Giants,
2017,3,2017-09-24,Redskins,Raiders,
2017,3,2017-09-24,Jaguars,Ravens,
2017,3,2017-09-24,Panthers,Saints,
2017,3,2017-09-24,Titans,Seahawks,
2017,3,2017-09-24,Bears,Steelers,
2017,3,2017-09-24,Patriots,Texans,
2017,3,2017-09-25,Cardinals,Cowboys,
2017,4,2017-09-28,Packers,Bears,
2017,4,2017-10-01,Cardinals,49ers,
2017,4,2017-10-01,Browns,Bengals,
2017,4,2017-10-01,Falcons,Bills,
2017,4,2017-10-01,Seahawks,Colts,
2017,4,2017-10-01,Chargers,Eagles,
2017,4,2017-10-01,Buccaneers,Giants,
2017,4,2017-10-01,Jets,Jaguars,
2017,4,2017-10-01,Vikings,Lions,
2017,4,2017-10-01,Patriots,Panthers,
2017,4,2017-10-01,Broncos,Raiders,
2017,4,2017-10-01,Cowboys,Rams,
2017,4,2017-10-01,Dolphins,Saints,
2017,4,2017-10-01,Ravens,Steelers,
2017,4,2017-10-01,Texans,Titans,
2017,4,2017-10-02,Chiefs,Redskins,
2017,5,2017-10-05,Buccaneers,Patriots,
2017,5,2017-10-08,Colts,49ers,
2017,5,2017-10-08,Bengals,Bills,
2017,5,2017-10-08,Eagles,Cardinals,
2017,5,2017-10-08,Giants,Chargers,
2017,5,2017-10-08,Texans,Chiefs,
2017,5,2017-10-08,Steelers,Jaguars,
2017,5,2017-10-08,Browns,Jets,
2017,5,2017-10-08,Cowboys,Packers,
2017,5,2017-10-08,Lions,Panthers,
2017,5,2017-10-08,Raiders,Ravens,
2017,5,2017-10-08,Rams,Seahawks,
2017,5,2017-10-08,Dolphins,Titans,
2017,5,2017-10-09,Bears,Vikings,
2017,6,2017-10-12,Panthers,Eagles,
2017,6,2017-10-15,Redskins,49ers,
2017,6,2017-10-15,Ravens,Bears,
2017,6,2017-10-15,Texans,Browns,
2017,6,2017-10-15,Cardinals,Buccaneers,
2017,6,2017-10-15,Raiders,Chargers,
2017,6,2017-10-15,Falcons,Dolphins,
2017,6,2017-10-15,Broncos,Giants,
2017,6,2017-10-15,Saints,Lions,
2017,6,2017-10-15,Vikings,Packers,
2017,6,2017-10-15,Jets,Patriots,
2017,6,2017-10-15,Jaguars,Rams,
2017,6,2017-10-15,Chiefs,Steelers,
2017,6,2017-10-16,Titans,Colts,
2017,7,2017-10-19,Raiders,Chiefs,
2017,7,2017-10-22,Steelers,Bengals,
2017,7,2017-10-22,Chargers,Broncos,
2017,7,2017-10-22,Bills,Buccaneers,
2017,7,2017-10-22,Rams,Cardinals,
2017,7,2017-10-22,49ers,Cowboys,
2017,7,2017-10-22,Patriots,Falcons,
2017,7,2017-10-22,Colts,Jaguars,
2017,7,2017-10-22,Dolphins,Jets,
2017,7,2017-10-22,Bears,Panthers,
2017,7,2017-10-22,Vikings,Ravens,
2017,7,2017-10-22,Packers,Saints,
2017,7,2017-10-22,Giants,Seahawks,
2017,7,2017-10-22,Browns,Titans,
2017,7,2017-10-23,Eagles,Redskins,
2017,8,2017-10-26,Ravens,Dolphins,
2017,8,2017-10-29,Eagles,49ers,
2017,8,2017-10-29,Saints,Bears,
2017,8,2017-10-29,Patriots,Chargers,
2017,8,2017-10-29,Bengals,Colts,
2017,8,2017-10-29,Redskins,Cowboys,
2017,8,2017-10-29,Jets,Falcons,
2017,8,2017-10-29,Buccaneers,Panthers,
2017,8,2017-10-29,Bills,Raiders,
2017,8,2017-10-29,Lions,Steelers,
2017,8,2017-10-29,Seahawks,Texans,
2017,8,2017-10-29,Browns,Vikings,
2017,8,2017-10-30,Chiefs,Broncos,
2017,9,2017-11-02,Jets,Bills,
2017,9,2017-11-05,Jaguars,Bengals,
2017,9,2017-11-05,Eagles,Broncos,
2017,9,2017-11-05,Saints,Buccaneers,
2017,9,2017-11-05,49ers,Cardinals,
2017,9,2017-11-05,Cowboys,Chiefs,
2017,9,2017-11-05,Texans,Colts,
2017,9,2017-11-05,Panthers,Falcons,
2017,9,2017-11-05,Dolphins,Raiders,
2017,9,2017-11-05,Giants,Rams,
2017,9,2017-11-05,Titans,Ravens,
2017,9,2017-11-05,Seahawks,Redskins,
2017,9,2017-11-06,Packers,Lions,
2017,10,2017-11-09,Cardinals,Seahawks,
2017,10,2017-11-12,Titans,Bengals,
2017,10,2017-11-12,Lions,Browns,
2017,10,2017-11-12,Jaguars,Chargers,
2017,10,2017-11-12,Falcons,Cowboys,
2017,10,2017-11-12,49ers,Giants,
2017,10,2017-11-12,Buccaneers,Jets,
2017,10,2017-11-12,Bears,Packers,
2017,10,2017-11-12,Broncos,Patriots,
2017,10,2017-11-12,Bills,Saints,
2017,10,2017-11-12,Colts,Steelers,
2017,10,2017-11-12,Rams,Texans,
2017,10,2017-11-12,Redskins,Vikings,
2017,10,2017-11-13,Panthers,Dolphins,
2017,11,2017-11-16,Steelers,Titans,
2017,11,2017-11-19,Broncos,Bengals,
2017,11,2017-11-19,Chargers,Bills,
2017,11,2017-11-19,Dolphins,Buccaneers,
2017,11,2017-11-19,Texans,Cardinals,
2017,11,2017-11-19,Giants,Chiefs,
2017,11,2017-11-19,Cowboys,Eagles,
2017,11,2017-11-19,Browns,Jaguars,
2017,11,2017-11-19,Bears,Lions,
2017,11,2017-11-19,Raiders,Patriots,
2017,11,2017-11-19,Vikings,Rams,
2017,11,2017-11-19,Packers,Ravens,
2017,11,2017-11-19,Saints,Redskins,
2017,11,2017-11-20,Seahawks,Falcons,
2017,12,2017-11-23,Cowboys,Chargers,
2017,12,2017-11-23,Redskins,Giants,
2017,12,2017-11-23,Lions,Vikings,
2017,12,2017-11-26,Eagles,Bears,
2017,12,2017-11-26,Chiefs,Bills,
2017,12,2017-11-26,Raiders,Broncos,
2017,12,2017-11-26,Bengals,Browns,
2017,12,2017-11-26,Falcons,Buccaneers,
2017,12,2017-11-26,Patriots,Dolphins,
2017,12,2017-11-26,Cardinals,Jaguars,
2017,12,2017-11-26,Steelers,Packers,
2017,12,2017-11-26,Jets,Panthers,
2017,12,2017-11-26,Rams,Saints,
2017,12,2017-11-26,49ers,Seahawks,
2017,12,2017-11-26,Colts,Titans,
2017,12,2017-11-27,Ravens,Texans,
2017,13,2017-11-30,Cowboys,Redskins,
2017,13,2017-12-03,Bears,49ers,
2017,13,2017-12-03,Dolphins,Broncos,
2017,13,2017-12-03,Chargers,Browns,
2017,13,2017-12-03,Packers,Buccaneers,
2017,13,2017-12-03,Jets,Chiefs,
2017,13,2017-12-03,Jaguars,Colts,
2017,13,2017-12-03,Seahawks,Eagles,
2017,13,2017-12-03,Raiders,Giants,
2017,13,2017-12-03,Ravens,Lions,
2017,13,2017-12-03,Saints,Panthers,
2017,13,2017-12-03,Bills,Patriots,
2017,13,2017-12-03,Cardinals,Rams,
2017,13,2017-12-03,Titans,Texans,
2017,13,2017-12-03,Falcons,Vikings,
2017,13,2017-12-04,Bengals,Steelers,
2017,14,2017-12-07,Falcons,Saints,
2017,14,2017-12-10,Texans,49ers,
2017,14,2017-12-10,Bengals,Bears,
2017,14,2017-12-10,Bills,Colts,
2017,14,2017-12-10,Giants,Cowboys,
2017,14,2017-12-10,Rams,Eagles,
2017,14,2017-12-10,Broncos,Jets,
2017,14,2017-12-10,Buccaneers,Lions,
2017,14,2017-12-10,Browns,Packers,
2017,14,2017-12-10,Chiefs,Raiders,
2017,14,2017-12-10,Steelers,Ravens,
2017,14,2017-12-10,Chargers,Redskins,
2017,14,2017-12-10,Jaguars,Seahawks,
2017,14,2017-12-10,Cardinals,Titans,
2017,14,2017-12-10,Panthers,Vikings,
2017,14,2017-12-11,Dolphins,Patriots,
2017,15,2017-12-14,Colts,Broncos,
2017,15,2017-12-16,Lions,Bears,
2017,15,2017-12-16,Chiefs,Chargers,
2017,15,2017-12-17,Vikings,Bengals,
2017,15,2017-12-17,Redskins,Cardinals,
2017,15,2017-12-17,Raiders,Cowboys,
2017,15,2017-12-17,Bills,Dolphins,
2017,15,2017-12-17,Giants,Eagles,
2017,15,2017-12-17,Saints,Jets,
2017,15,2017-12-17,Panthers,Packers,
2017,15,2017-12-17,Steelers,Patriots,
2017,15,2017-12-17,Seahawks,Rams,
2017,15,2017-12-17,Browns,Ravens,
2017,15,2017-12-17,Jaguars,Texans,
2017,15,2017-12-17,49ers,Titans,
2017,15,2017-12-18,Buccaneers,Falcons,
2017,16,2017-12-23,Ravens,Colts,
2017,16,2017-12-23,Packers,Vikings,
2017,16,2017-12-24,Patriots,Bills,
2017,16,2017-12-24,Redskins,Broncos,
2017,16,2017-12-24,Bears,Browns,
2017,16,2017-12-24,Panthers,Buccaneers,
2017,16,2017-12-24,Jets,Chargers,
2017,16,2017-12-24,Chiefs,Dolphins,
2017,16,2017-12-24,Saints,Falcons,
2017,16,2017-12-24,Cardinals,Giants,
2017,16,2017-12-24,49ers,Jaguars,
2017,16,2017-12-24,Bengals,Lions,
2017,16,2017-12-24,Titans,Rams,
2017,16,2017-12-24,Cowboys,Seahawks,
2017,16,2017-12-25,Eagles,Raiders,
2017,16,2017-12-25,Texans,Steelers,
2017,17,2017-12-31,Rams,49ers,
2017,17,2017-12-31,Vikings,Bears,
2017,17,2017-12-31,Ravens,Bengals,
2017,17,2017-12-31,Dolphins,Bills,
2017,17,2017-12-31,Steelers,Browns,
2017,17,2017-12-31,Seahawks,Cardinals,
2017,17,2017-12-31,Broncos,Chiefs,
2017,17,2017-12-31,Eagles,Cowboys,
2017,17,2017-12-31,Titans,Jaguars,
2017,17,2017-12-31,Patriots,Jets,
2017,17,2017-12-31,Lions,Packers,
2017,17,2017-12-31,Falcons,Panthers,
2017,17,2017-12-31,Chargers,Raiders,
2017,17,2017-12-31,Giants,Redskins,
2017,17,2017-12-31,Buccaneers,Saints,
2017,17,2017-12-31,Colts,Texans,
2017,19,2018-01-06,Rams,Falcons,
2017,19,2018-01-06,Chiefs,Titans,
2017,19,2018-01-07,Jaguars,Bills,
2017,19,2018-01-07,Saints,Panthers,
2017,20,2018-01-13,Eagles,Falcons,
2017,20,2018-01-13,Patriots,Titans,
2017,20,2018-01-14,Steelers,Jaguars,
2017,20,2018-01-14,Vikings,Saints,
2017,21,2018-01-21,Patriots,Jaguars,
2017,21,2018-01-21,Eagles,Vikings,
2017,22,2018-02-04,Patriots,Eagles,
2018,1,2018-09-06,Eagles,Falcons,
2018,1,2018-09-09,Vikings,49ers,
2018,1,2018-09-09,Packers,Bears,
2018,1,2018-09-09,Colts,Bengals,
2018,1,2018-09-09,Ravens,Bills,
2018,1,2018-09-09,Saints,Buccaneers,
2018,1,2018-09-09,Chargers,Chiefs,
2018,1,2018-09-09,Panthers,Cowboys,
2018,1,2018-09-09,Giants,Jaguars,
2018,1,2018-09-09,Cardinals,Redskins,
2018,1,2018-09-09,Broncos,Seahawks,
2018,1,2018-09-09,Browns,Steelers,
2018,1,2018-09-09,Patriots,Texans,
2018,1,2018-09-09,Dolphins,Titans,
2018,1,2018-09-10,Lions,Jets,
2018,1,2018-09-10,Raiders,Rams,
2018,2,2018-09-13,Bengals,Ravens,
2018,2,2018-09-16,Saints,Browns,
2018,2,2018-09-16,Rams,Cardinals,
2018,2,2018-09-16,Bills,Chargers,
2018,2,2018-09-16,Steelers,Chiefs,
2018,2,2018-09-16,Redskins,Colts,
2018,2,2018-09-16,Jets,Dolphins,
2018,2,2018-09-16,Buccaneers,Eagles,
