game_id,Season,Week,game_date,game_date_str,season_type,week_sort,AwayTeam,HomeTeam,home_team,home_total_plays,home_offensive_plays,home_pass_plays,home_rush_plays,home_sacks,home_punts,home_field_goal_plays,home_turnovers,home_penalties,home_first_downs,home_touchdowns,home_scoring_plays,home_scoring_drives,home_red_zone_plays,home_explosive_passes,home_explosive_runs,home_drive_count,home_pass_rate,home_rush_rate,home_explosive_play_rate,home_scoring_drive_rate,home_home_or_away,away_team,away_total_plays,away_offensive_plays,away_pass_plays,away_rush_plays,away_sacks,away_punts,away_field_goal_plays,away_turnovers,away_penalties,away_first_downs,away_touchdowns,away_scoring_plays,away_scoring_drives,away_red_zone_plays,away_explosive_passes,away_explosive_runs,away_drive_count,away_pass_rate,away_rush_rate,away_explosive_play_rate,away_scoring_drive_rate,away_home_or_away,combined_offensive_plays,combined_total_plays,combined_drive_count,combined_turnovers,combined_penalties,combined_touchdowns,combined_scoring_plays,combined_red_zone_plays,combined_explosive_passes,combined_explosive_runs,combined_explosive_play_rate,combined_scoring_drive_rate,play_volume_diff,pass_rate_diff,rush_rate_diff,turnover_diff
2017_2017-08-03_cardinals_at_cowboys,2017,Hall Of Fame,2017-08-03,2017-08-03,preseason,-2.0,Cardinals,Cowboys,Cowboys,97.0,77.0,39.0,38.0,0.0,5.0,2.0,1.0,16.0,0.0,2.0,6.0,1.0,0.0,4.0,4.0,6.0,0.5064935064935064,0.4935064935064935,0.1038961038961039,0.16666666666666666,home,Cardinals,79.0,62.0,34.0,29.0,2.0,5.0,3.0,0.0,7.0,0.0,2.0,4.0,1.0,0.0,5.0,3.0,6.0,0.5483870967741935,0.46774193548387094,0.12903225806451613,0.16666666666666666,away,139.0,176.0,12.0,1.0,23.0,4.0,10.0,0.0,9.0,7.0,0.11510791366906475,0.16666666666666666,15.0,-0.041893590280687065,0.025764558022622563,1.0
2017_2017-08-09_texans_at_panthers,2017,Preseason Week 1,2017-08-09,2017-08-09,preseason,-1.0,Texans,Panthers,Panthers,80.0,60.0,30.0,30.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,8.0,1.0,0.0,4.0,6.0,7.0,0.5,0.5,0.16666666666666666,0.14285714285714285,home,Texans,98.0,81.0,54.0,27.0,5.0,6.0,2.0,1.0,14.0,0.0,2.0,5.0,1.0,0.0,3.0,2.0,8.0,0.6666666666666666,0.3333333333333333,0.06172839506172839,0.125,away,141.0,178.0,15.0,3.0,19.0,6.0,13.0,0.0,7.0,8.0,0.10638297872340426,0.13333333333333333,-21.0,-0.16666666666666663,0.16666666666666669,1.0
2017_2017-08-10_broncos_at_bears,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Broncos,Bears,Bears,97.0,76.0,41.0,35.0,0.0,5.0,1.0,2.0,12.0,0.0,3.0,6.0,1.0,0.0,1.0,8.0,6.0,0.5394736842105263,0.4605263157894737,0.11842105263157894,0.16666666666666666,home,Broncos,72.0,54.0,26.0,28.0,2.0,5.0,1.0,0.0,13.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,7.0,0.48148148148148145,0.5185185185185185,0.05555555555555555,0.14285714285714285,away,130.0,169.0,13.0,2.0,25.0,5.0,11.0,0.0,3.0,9.0,0.09230769230769231,0.15384615384615385,22.0,0.05799220272904487,-0.05799220272904482,2.0
2017_2017-08-10_eagles_at_packers,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Eagles,Packers,Packers,77.0,61.0,43.0,18.0,5.0,6.0,1.0,3.0,5.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,9.0,0.7049180327868853,0.29508196721311475,0.08196721311475409,0.1111111111111111,home,Eagles,95.0,76.0,56.0,20.0,1.0,4.0,2.0,4.0,7.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,10.0,0.7368421052631579,0.2631578947368421,0.02631578947368421,0.1,away,137.0,172.0,19.0,7.0,12.0,4.0,8.0,0.0,4.0,3.0,0.051094890510948905,0.10526315789473684,-15.0,-0.0319240724762726,0.03192407247627266,-1.0
2017_2017-08-10_falcons_at_dolphins,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Falcons,Dolphins,Dolphins,76.0,58.0,36.0,22.0,0.0,5.0,1.0,3.0,10.0,0.0,3.0,6.0,1.0,0.0,1.0,1.0,9.0,0.6206896551724138,0.3793103448275862,0.034482758620689655,0.1111111111111111,home,Falcons,86.0,66.0,33.0,33.0,2.0,6.0,3.0,1.0,8.0,0.0,3.0,6.0,1.0,0.0,0.0,3.0,8.0,0.5,0.5,0.045454545454545456,0.125,away,124.0,162.0,17.0,4.0,18.0,6.0,12.0,0.0,1.0,4.0,0.04032258064516129,0.11764705882352941,-8.0,0.12068965517241381,-0.12068965517241381,2.0
2017_2017-08-10_jaguars_at_patriots,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Jaguars,Patriots,Patriots,93.0,73.0,45.0,28.0,3.0,3.0,2.0,1.0,5.0,0.0,3.0,7.0,1.0,0.0,6.0,3.0,6.0,0.6164383561643836,0.3835616438356164,0.1232876712328767,0.16666666666666666,home,Jaguars,76.0,56.0,19.0,37.0,0.0,3.0,3.0,0.0,3.0,0.0,4.0,9.0,1.0,0.0,1.0,3.0,7.0,0.3392857142857143,0.6607142857142857,0.07142857142857142,0.14285714285714285,away,129.0,169.0,13.0,1.0,8.0,7.0,16.0,0.0,7.0,6.0,0.10077519379844961,0.15384615384615385,17.0,0.2771526418786693,-0.2771526418786693,1.0
2017_2017-08-10_redskins_at_ravens,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Redskins,Ravens,Ravens,86.0,69.0,30.0,39.0,4.0,6.0,3.0,0.0,5.0,0.0,2.0,7.0,1.0,0.0,3.0,3.0,7.0,0.43478260869565216,0.5652173913043478,0.08695652173913043,0.14285714285714285,home,,,,,,,,,,,,,,,,,,,,,,,,69.0,86.0,7.0,0.0,5.0,2.0,7.0,0.0,3.0,3.0,0.08695652173913043,0.14285714285714285,69.0,0.43478260869565216,0.5652173913043478,0.0
2017_2017-08-10_saints_at_browns,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Saints,Browns,Browns,96.0,76.0,54.0,23.0,4.0,7.0,0.0,0.0,14.0,0.0,3.0,5.0,1.0,0.0,3.0,1.0,8.0,0.7105263157894737,0.3026315789473684,0.05263157894736842,0.125,home,Saints,87.0,73.0,43.0,30.0,5.0,6.0,2.0,2.0,9.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,7.0,0.589041095890411,0.410958904109589,0.0547945205479452,0.14285714285714285,away,149.0,183.0,15.0,2.0,23.0,4.0,8.0,0.0,4.0,4.0,0.053691275167785234,0.13333333333333333,3.0,0.12148521989906269,-0.1083273251622206,-2.0
2017_2017-08-10_vikings_at_bills,2017,Preseason Week 1,2017-08-10,2017-08-10,preseason,-1.0,Vikings,Bills,Bills,88.0,72.0,48.0,24.0,3.0,6.0,1.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,6.0,0.6666666666666666,0.3333333333333333,0.06944444444444445,0.16666666666666666,home,Vikings,82.0,66.0,37.0,29.0,3.0,7.0,1.0,1.0,9.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,7.0,0.5606060606060606,0.4393939393939394,0.07575757575757576,0.14285714285714285,away,138.0,170.0,13.0,2.0,14.0,3.0,8.0,0.0,2.0,8.0,0.07246376811594203,0.15384615384615385,6.0,0.10606060606060608,-0.10606060606060608,0.0
2017_2017-08-11_49ers_at_chiefs,2017,Preseason Week 1,2017-08-11,2017-08-11,preseason,-1.0,49ers,Chiefs,Chiefs,76.0,54.0,38.0,16.0,2.0,7.0,2.0,2.0,17.0,0.0,3.0,6.0,1.0,0.0,4.0,3.0,6.0,0.7037037037037037,0.2962962962962963,0.12962962962962962,0.16666666666666666,home,49ers,98.0,73.0,37.0,36.0,3.0,4.0,4.0,1.0,14.0,0.0,3.0,6.0,1.0,0.0,3.0,4.0,6.0,0.5068493150684932,0.4931506849315068,0.0958904109589041,0.16666666666666666,away,127.0,174.0,12.0,3.0,31.0,6.0,12.0,0.0,7.0,7.0,0.11023622047244094,0.16666666666666666,-19.0,0.19685438863521054,-0.19685438863521054,1.0
