subset,bets,wins,win_rate,profit_units,roi,avg_edge,avg_edge_raw,avg_model_prob_raw,avg_model_prob_adj,avg_implied_prob,avg_odds,avg_books_used,Season,Week
season_2024_week_1,4,4.0,1.0,2.131835057347042,0.5329587643367605,0.06866447405204547,0.11444079008674253,0.7679358115143897,0.7221594954796927,0.6534950214276471,-190.25,10.0,2024,1
season_2024_week_2,3,3.0,1.0,1.634051962410171,0.544683987470057,0.06256335979716493,0.1042722663286082,0.7562382510048732,0.71452934447343,0.6519659846762651,-195.83333333333334,10.0,2024,2
season_2024_week_3,5,4.0,0.8,1.1506092459234414,0.23012184918468828,0.07060494757986219,0.11767491263310366,0.7519779253163967,0.704907960263155,0.6343030126832929,-179.6,10.0,2024,3
season_2024_week_4,3,3.0,1.0,1.3206349206349206,0.4402116402116402,0.0573859486461945,0.09564324774365753,0.7903141682210295,0.7520568691235666,0.694670920477372,-228.33333333333334,10.0,2024,4
season_2024_week_5,3,3.0,1.0,1.506236618130005,0.5020788727100017,0.07169135734228403,0.11948559557047339,0.7870862135888861,0.7392919753606967,0.6676006180184126,-204.16666666666666,10.0,2024,5
season_2024_week_6,7,7.0,1.0,4.08850094713326,0.58407156387618,0.07125267969929215,0.11875446616548695,0.7536539148677631,0.7061521284015685,0.6348994487022762,-178.28571428571428,10.0,2024,6
season_2024_week_7,2,2.0,1.0,1.2567820854296143,0.6283910427148072,0.08494527142519205,0.14157545237532015,0.7557437003196592,0.699113519369531,0.614168247944339,-159.25,10.0,2024,7
season_2024_week_8,5,4.0,0.8,1.0144362445904895,0.2028872489180979,0.07313834514043237,0.12189724190072068,0.7755873223822837,0.7268284256219955,0.6536900804815631,-192.8,10.0,2024,8
season_2024_week_9,1,1.0,1.0,0.4761904761904761,0.4761904761904761,0.0514635575328322,0.0857725958880538,0.7631919507267635,0.7288829123715419,0.6774193548387096,-210.0,10.0,2024,9
season_2024_week_10,1,1.0,1.0,0.4545454545454545,0.4545454545454545,0.0601710308396827,0.1002850513994713,0.7877850513994713,0.7476710308396828,0.6875,-220.0,10.0,2024,10
season_2024_week_11,2,1.0,0.5,-0.5157384987893463,-0.25786924939467315,0.057901083552125754,0.09650180592020965,0.7515514870710327,0.7129507647029489,0.6550496811508231,-190.75,10.0,2024,11
season_2024_week_12,4,4.0,1.0,2.8011311362097007,0.7002827840524252,0.076623210089641,0.12770535014940174,0.7184575497258309,0.66737540966607,0.590752199576429,-146.375,9.25,2024,12
season_2024_week_13,5,5.0,1.0,2.774908848136738,0.5549817696273476,0.06673670541328361,0.11122784235547276,0.7572304111480561,0.7127392742058671,0.6460025687925832,-187.2,10.0,2024,13
season_2024_week_14,3,3.0,1.0,1.434402384326187,0.478134128108729,0.08533957371510413,0.142232622858507,0.8220104935475153,0.7651174444041123,0.6797778706890082,-219.33333333333334,10.0,2024,14
season_2024_week_15,5,5.0,1.0,2.5589408768902135,0.5117881753780427,0.06787469254182982,0.11312448756971641,0.7779252780562466,0.73267548302836,0.6648007904865302,-203.7,10.0,2024,15
season_2024_week_16,3,3.0,1.0,1.8548233572531165,0.6182744524177055,0.06722049883045143,0.11203416471741917,0.7320038094069092,0.6871901435199416,0.6199696446894901,-165.5,10.0,2024,16
season_2024_week_17,4,4.0,1.0,2.6779159598067435,0.6694789899516859,0.08063950610901705,0.13439917684836172,0.7373538677808004,0.6835941970414556,0.6029546909324385,-155.375,10.0,2024,17
season_2024_week_18,4,3.0,0.75,0.9548872180451128,0.2387218045112782,0.09967313013619669,0.1661218835603279,0.7628860015013574,0.6964372480772263,0.5967641179410295,-150.0,10.0,2024,18
season_2024_week_19,2,1.0,0.5,-0.6153846153846154,-0.3076923076923077,0.06441801979426126,0.10736336632376885,0.7723960460623309,0.7294506995328234,0.6650326797385621,-207.5,10.0,2024,19
season_2025_week_1,3,2.0,0.6666666666666666,0.5188470066518848,0.17294900221729492,0.06856872561385573,0.11428120935642634,0.7044444792949772,0.6587319955524066,0.5901632699385507,-147.0,11.0,2025,1
season_2025_week_2,5,3.0,0.6,-0.32236842105263175,-0.06447368421052635,0.08562553345789124,0.14270922242981882,0.7614743220016849,0.7043906330297574,0.6187650995718659,-165.0,11.0,2025,2
season_2025_week_3,3,2.0,0.6666666666666666,0.15440115440115454,0.051467051467051515,0.07526606163049553,0.12544343605082595,0.782552617782485,0.7323752433621546,0.6571091817316591,-195.33333333333334,11.0,2025,3
season_2025_week_4,4,3.0,0.75,0.4472995676003193,0.11182489190007983,0.08521212305716236,0.14202020509527058,0.8076946868066492,0.750886604768541,0.6656744817113786,-201.25,11.0,2025,4
